0	 
1	<nul>
2	<nul>
3	ဝ
4	ၼ
5	်
6	း
7	တ
8	ီ
9	ႈ
10	2
11	0
12	/
13	8
14	1
15	မ
16	ိ
17	ူ
18	ႆ
19	ႉ
20	ယ
21	ၢ
22	ွ
23	ၵ
24	င
25	သ
26	ု
27	လ
28	ႄ
29	M
30	N
31	D
32	A
33	ဵ
34	ပ
35	ႇ
36	၊
37	ၸ
38	ႃ
39	ထ
40	ၽ
41	ႁ
42	ေ
43	။
44	ၺ
45	-
46	“
47	4
48	5
49	ၶ
50	ႂ
51	ႅ
52	ဢ
53	ၾ
54	”
55	ရ
56	ႊ
57	(
58	9
59	)
60	U
61	G
62	S
63	W
64	6
65	7
66	.
67	R
68	a
69	d
70	i
71	o
72	3
73	ျ
74	B
75	n
76	g
77	t
78	l
79	C
80	P
81	F
82	h
83	J
84	s
85	e
86	w
87	m
88	r
89	ြ
90	b
91	y
92	K
93	u
94	Y
95	&
96	#
97	;
98	v
99	O
100	p
101	T
102	x
103	V
104	I
105	:
106	L
107	,
108	ံ
109	န
110	့
111	ခ
112	စ
113	က
114	ဟ
115	ဖ
116	ာ
117	ှ
118	ည
119	အ
120	ဓ
121	Z
122	E
123	f
124	ၿ
125	c
